--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Nassau Bahamas (Tunis)? : Tunisia

--------------------- city-in-state.txt---------------------

--------------------- currency.txt---------------------

--------------------- family.txt---------------------
dad mom (man)? : woman
grandpa grandma (father)? : mother
husband wife (man)? : woman

--------------------- gram1-adjective-to-averb.txt---------------------
amazing amazingly (apparent)? : apparently
amazing amazingly (cheerful)? : cheerfully
amazing amazingly (efficient)? : efficiently
amazing amazingly (immediate)? : immediately
amazing amazingly (infrequent)? : infrequently
amazing amazingly (obvious)? : obviously
amazing amazingly (occasional)? : occasionally
amazing amazingly (reluctant)? : reluctantly
amazing amazingly (serious)? : seriously
amazing amazingly (sudden)? : suddenly
amazing amazingly (typical)? : typically
amazing amazingly (unfortunate)? : unfortunately
apparent apparently (efficient)? : efficiently
apparent apparently (infrequent)? : infrequently
apparent apparently (unfortunate)? : unfortunately
apparent apparently (amazing)? : amazingly
calm calmly (cheerful)? : cheerfully
calm calmly (efficient)? : efficiently
calm calmly (infrequent)? : infrequently
calm calmly (reluctant)? : reluctantly
calm calmly (serious)? : seriously
calm calmly (unfortunate)? : unfortunately
calm calmly (amazing)? : amazingly
cheerful cheerfully (immediate)? : immediately
cheerful cheerfully (infrequent)? : infrequently
cheerful cheerfully (occasional)? : occasionally
cheerful cheerfully (reluctant)? : reluctantly
cheerful cheerfully (typical)? : typically
cheerful cheerfully (unfortunate)? : unfortunately
cheerful cheerfully (amazing)? : amazingly
complete completely (efficient)? : efficiently
complete completely (infrequent)? : infrequently
complete completely (occasional)? : occasionally
complete completely (reluctant)? : reluctantly
complete completely (amazing)? : amazingly
complete completely (cheerful)? : cheerfully
efficient efficiently (immediate)? : immediately
efficient efficiently (infrequent)? : infrequently
efficient efficiently (obvious)? : obviously
efficient efficiently (occasional)? : occasionally
efficient efficiently (serious)? : seriously
efficient efficiently (typical)? : typically
efficient efficiently (unfortunate)? : unfortunately
efficient efficiently (amazing)? : amazingly
efficient efficiently (cheerful)? : cheerfully
fortunate fortunately (infrequent)? : infrequently
fortunate fortunately (occasional)? : occasionally
fortunate fortunately (reluctant)? : reluctantly
fortunate fortunately (unfortunate)? : unfortunately
fortunate fortunately (amazing)? : amazingly
fortunate fortunately (cheerful)? : cheerfully
fortunate fortunately (efficient)? : efficiently
free freely (infrequent)? : infrequently
free freely (reluctant)? : reluctantly
free freely (unfortunate)? : unfortunately
free freely (amazing)? : amazingly
free freely (cheerful)? : cheerfully
furious furiously (infrequent)? : infrequently
furious furiously (occasional)? : occasionally
furious furiously (reluctant)? : reluctantly
furious furiously (typical)? : typically
furious furiously (unfortunate)? : unfortunately
furious furiously (amazing)? : amazingly
furious furiously (cheerful)? : cheerfully
furious furiously (efficient)? : efficiently
happy happily (immediate)? : immediately
happy happily (infrequent)? : infrequently
happy happily (occasional)? : occasionally
happy happily (professional)? : professionally
happy happily (unfortunate)? : unfortunately
happy happily (amazing)? : amazingly
happy happily (cheerful)? : cheerfully
happy happily (efficient)? : efficiently
immediate immediately (infrequent)? : infrequently
immediate immediately (occasional)? : occasionally
immediate immediately (amazing)? : amazingly
immediate immediately (cheerful)? : cheerfully
immediate immediately (efficient)? : efficiently
infrequent infrequently (occasional)? : occasionally
infrequent infrequently (unfortunate)? : unfortunately
infrequent infrequently (amazing)? : amazingly
infrequent infrequently (cheerful)? : cheerfully
infrequent infrequently (efficient)? : efficiently
lucky luckily (professional)? : professionally
lucky luckily (unfortunate)? : unfortunately
lucky luckily (amazing)? : amazingly
lucky luckily (cheerful)? : cheerfully
lucky luckily (efficient)? : efficiently
lucky luckily (infrequent)? : infrequently
most mostly (professional)? : professionally
most mostly (reluctant)? : reluctantly
most mostly (unfortunate)? : unfortunately
most mostly (amazing)? : amazingly
most mostly (cheerful)? : cheerfully
most mostly (infrequent)? : infrequently
obvious obviously (reluctant)? : reluctantly
obvious obviously (unfortunate)? : unfortunately
obvious obviously (amazing)? : amazingly
obvious obviously (cheerful)? : cheerfully
obvious obviously (efficient)? : efficiently
obvious obviously (infrequent)? : infrequently
occasional occasionally (unfortunate)? : unfortunately
occasional occasionally (amazing)? : amazingly
occasional occasionally (cheerful)? : cheerfully
occasional occasionally (efficient)? : efficiently
occasional occasionally (infrequent)? : infrequently
possible possibly (unfortunate)? : unfortunately
possible possibly (amazing)? : amazingly
possible possibly (cheerful)? : cheerfully
possible possibly (efficient)? : efficiently
possible possibly (infrequent)? : infrequently
precise precisely (reluctant)? : reluctantly
precise precisely (unfortunate)? : unfortunately
precise precisely (amazing)? : amazingly
precise precisely (cheerful)? : cheerfully
precise precisely (infrequent)? : infrequently
precise precisely (occasional)? : occasionally
professional professionally (sudden)? : suddenly
professional professionally (typical)? : typically
professional professionally (unfortunate)? : unfortunately
professional professionally (amazing)? : amazingly
professional professionally (cheerful)? : cheerfully
professional professionally (efficient)? : efficiently
professional professionally (immediate)? : immediately
professional professionally (infrequent)? : infrequently
professional professionally (obvious)? : obviously
quick quickly (typical)? : typically
quick quickly (unfortunate)? : unfortunately
quick quickly (usual)? : usually
quick quickly (amazing)? : amazingly
quick quickly (cheerful)? : cheerfully
quick quickly (infrequent)? : infrequently
quick quickly (obvious)? : obviously
quick quickly (occasional)? : occasionally
quiet quietly (serious)? : seriously
quiet quietly (typical)? : typically
quiet quietly (unfortunate)? : unfortunately
quiet quietly (usual)? : usually
quiet quietly (amazing)? : amazingly
quiet quietly (cheerful)? : cheerfully
quiet quietly (efficient)? : efficiently
quiet quietly (obvious)? : obviously
quiet quietly (occasional)? : occasionally
rapid rapidly (unfortunate)? : unfortunately
rapid rapidly (amazing)? : amazingly
rapid rapidly (cheerful)? : cheerfully
rapid rapidly (immediate)? : immediately
rapid rapidly (obvious)? : obviously
rapid rapidly (occasional)? : occasionally
rare rarely (reluctant)? : reluctantly
rare rarely (unfortunate)? : unfortunately
rare rarely (amazing)? : amazingly
rare rarely (cheerful)? : cheerfully
rare rarely (infrequent)? : infrequently
reluctant reluctantly (typical)? : typically
reluctant reluctantly (unfortunate)? : unfortunately
reluctant reluctantly (amazing)? : amazingly
reluctant reluctantly (apparent)? : apparently
reluctant reluctantly (cheerful)? : cheerfully
reluctant reluctantly (efficient)? : efficiently
reluctant reluctantly (infrequent)? : infrequently
reluctant reluctantly (obvious)? : obviously
reluctant reluctantly (occasional)? : occasionally
safe safely (amazing)? : amazingly
safe safely (cheerful)? : cheerfully
safe safely (infrequent)? : infrequently
safe safely (obvious)? : obviously
safe safely (reluctant)? : reluctantly
serious seriously (typical)? : typically
serious seriously (unfortunate)? : unfortunately
serious seriously (amazing)? : amazingly
serious seriously (apparent)? : apparently
serious seriously (cheerful)? : cheerfully
serious seriously (efficient)? : efficiently
serious seriously (immediate)? : immediately
serious seriously (infrequent)? : infrequently
serious seriously (occasional)? : occasionally
serious seriously (precise)? : precisely
slow slowly (unfortunate)? : unfortunately
slow slowly (amazing)? : amazingly
slow slowly (cheerful)? : cheerfully
slow slowly (infrequent)? : infrequently
slow slowly (obvious)? : obviously
slow slowly (reluctant)? : reluctantly
slow slowly (serious)? : seriously
sudden suddenly (typical)? : typically
sudden suddenly (unfortunate)? : unfortunately
sudden suddenly (usual)? : usually
sudden suddenly (amazing)? : amazingly
sudden suddenly (cheerful)? : cheerfully
sudden suddenly (efficient)? : efficiently
sudden suddenly (infrequent)? : infrequently
swift swiftly (typical)? : typically
swift swiftly (unfortunate)? : unfortunately
swift swiftly (amazing)? : amazingly
swift swiftly (cheerful)? : cheerfully
swift swiftly (efficient)? : efficiently
swift swiftly (infrequent)? : infrequently
swift swiftly (occasional)? : occasionally
swift swiftly (reluctant)? : reluctantly
swift swiftly (serious)? : seriously
typical typically (unfortunate)? : unfortunately
typical typically (amazing)? : amazingly
typical typically (cheerful)? : cheerfully
typical typically (efficient)? : efficiently
typical typically (immediate)? : immediately
typical typically (infrequent)? : infrequently
typical typically (reluctant)? : reluctantly
typical typically (sudden)? : suddenly
unfortunate unfortunately (amazing)? : amazingly
unfortunate unfortunately (cheerful)? : cheerfully
unfortunate unfortunately (efficient)? : efficiently
unfortunate unfortunately (infrequent)? : infrequently
unfortunate unfortunately (occasional)? : occasionally
unfortunate unfortunately (reluctant)? : reluctantly
usual usually (amazing)? : amazingly
usual usually (apparent)? : apparently
usual usually (cheerful)? : cheerfully
usual usually (efficient)? : efficiently
usual usually (immediate)? : immediately
usual usually (infrequent)? : infrequently
usual usually (precise)? : precisely
usual usually (reluctant)? : reluctantly
usual usually (sudden)? : suddenly
usual usually (unfortunate)? : unfortunately

--------------------- gram2-opposite.txt---------------------
acceptable unacceptable (likely)? : unlikely
acceptable unacceptable (possible)? : impossible
acceptable unacceptable (tasteful)? : distasteful
aware unaware (ethical)? : unethical
aware unaware (likely)? : unlikely
aware unaware (possible)? : impossible
aware unaware (reasonable)? : unreasonable
certain uncertain (comfortable)? : uncomfortable
certain uncertain (possible)? : impossible
certain uncertain (tasteful)? : distasteful
clear unclear (ethical)? : unethical
clear unclear (informed)? : uninformed
clear unclear (likely)? : unlikely
clear unclear (logical)? : illogical
clear unclear (possibly)? : impossibly
clear unclear (tasteful)? : distasteful
comfortable uncomfortable (logical)? : illogical
competitive uncompetitive (likely)? : unlikely
competitive uncompetitive (tasteful)? : distasteful
consistent inconsistent (possible)? : impossible
consistent inconsistent (tasteful)? : distasteful
convincing unconvincing (likely)? : unlikely
convincing unconvincing (possible)? : impossible
convincing unconvincing (tasteful)? : distasteful
convenient inconvenient (likely)? : unlikely
convenient inconvenient (possible)? : impossible
convenient inconvenient (tasteful)? : distasteful
decided undecided (likely)? : unlikely
decided undecided (logical)? : illogical
decided undecided (tasteful)? : distasteful
